// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020105	
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020107	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020109	
LangTextFieldCustomerNrLogin	dan	Kundenummer	date20040201	
LangTextFNFieldCustomerNrLogin	dan	Kundenummer	date20040201	
LangTagFieldLastNameSender	dan	Afsender	date20040207	
LangTagCashInclude	dan	inkl.	date20040211	
LangTagIncluded	dan	inkl.	date20040213	
LangTagItemNumber	dan	Varenummer	date20040302	
LangTagPleaseActivateJavascript	dan	Onlineshoppen kræver fuld JavaScript funktionalitet. <br />Du skal derfor aktivere JavaScript i dine browser indstillinger..<br />	date20040304	
LangTagFieldShippingCity	dan	By	date20040325	
LangTagFieldShippingFirstName	dan	Fornavn	date20040325	
LangTagFieldShippingLastName	dan	Efternavn	date20040325	
LangTagFieldShippingStreet	dan	Gade,Vej	date20040325	
LangTagFieldShippingTitle	dan	Anden leveringsadresse	date20040325	
LangTagFieldShippingZipCode	dan	Postnr.	date20040325	
LangTagFNFieldShippingCity	Dan	LeveringsBy	date20040325	
LangTagFNFieldShippingFirstName	dan	LeveringsFornavn	date20040325	
LangTagFNFieldShippingLastName	dan	LeveringsEfternavn	date20040325	
LangTagFNFieldShippingStreet	dan	LeveringsGade_Vej	date20040325	
LangTagFNFieldShippingZipCode	dan	LeveringsPostnr	date20040325	
LangTagFNIclearDiscount	dan	Rabat	date20040326	
LangTagFNIclearPostage	dan	Forsendelsesomkostninger	date20040326	
LangTagIclearDiscount	dan	Rabat	date20040326	
LangTagIclearPostage	dan	Forsendelsesomkostninger	date20040326	
LangTagNoFrames	dan	Din browser understøtter ikke frames (se http://www.gs-shopbuilder.com)	Date20040926	
LangTagBillingAddress	dan	faktureringsadresse	Date20041202	
LangTagFieldShippingAddress2	dan	adresse_2	Date20041202	
LangTagFieldShippingCompany	dan	leverandør	Date20041202	
LangTagFieldShippingEmail	dan	modtagerens email	Date20041202	
LangTagFNFieldShippingAddress2	dan	leveringsadresse_2	Date20041202	
LangTagFNFieldShippingCompany	dan	leverandor	Date20041202	
LangTagFNFieldShippingFax	dan	Modtagerens_fax_nr	Date20041202	
LangTagFNFieldShippingState	dan	leveringsted_land	Date20041202	
LangTagFNFieldShippingTelefon	dan	modtagerens_telefon	Date20041202	
LangTagShippingAddress	dan	leveringsadresse	Date20041202	
LangTagShippingFieldEmail	dan	leveringsmodtagerens email	Date20041202	
LangTagShippingFieldFax	dan	modtagerens fax	Date20041202	
LangTagShippingFieldPhone	dan	telefon	Date20041202	
LangTagShippingFieldState	dan	leveringsted (land)	Date20041202	
LangTagTextAddressArea	dan	landezone	Date20041206	
